RCDTS,Type,School_Name,District,District_Size,School_Type,NR_Student_Enrollment,PERC_Student_Enrollment___White,PERC_Student_Enrollment___Black_or_African_American,PERC_Student_Enrollment___Hispanic_or_Latino,PERC_Student_Enrollment___Asian,PERC_Student_Enrollment___Two_or_More_Races,PERC_Student_Enrollment___Children_with_Disabilities,PERC_Student_Enrollment___EL,PERC_Student_Enrollment___Low_Income
010010010262002,School,Seymour Elementary School,Payson CUSD 1,MEDIUM,ELEMENTARY,316,94.6,0.3,,0.3,4.7,19.6,0.3,51.9
010010020262002,School,Liberty Elementary School,Liberty CUSD 2,MEDIUM,ELEMENTARY,350,97.4,0.3,,,2.3,18.6,,25.1
010010030262003,School,Central Elementary Grade School,Central CUSD 3,MEDIUM,ELEMENTARY,195,96.4,1.0,,,2.1,24.6,,42.6
010010030262008,School,Central 3-4 Middle School,Central CUSD 3,MEDIUM,ELEMENTARY,124,97.6,0.8,,,0.8,23.4,0.8,43.5
010010040262006,School,Unity Elementary School,CUSD 4,MEDIUM,ELEMENTARY,236,95.3,0.8,2.5,,1.3,19.1,2.1,43.6
010010040262007,School,Unity Middle School,CUSD 4,MEDIUM,ELEMENTARY,252,94.4,0.8,3.6,0.4,0.8,18.3,1.2,37.7
010011720222004,School,Sarah Atwater Denman Elementary School,Quincy SD 172,LARGE,ELEMENTARY,369,81.6,5.1,2.4,1.1,9.8,21.7,,64.2
010011720222006,School,Colonel George Iles Elementary School,Quincy SD 172,LARGE,ELEMENTARY,589,73.7,11.7,2.5,0.3,11.4,19.2,0.2,68.1
010011720222007,School,Thomas S Baldwin Elementary School,Quincy SD 172,LARGE,ELEMENTARY,269,72.1,7.1,5.6,2.2,12.6,16.7,1.1,62.5
010011720222008,School,Sarah Atwater Denman Elementary Site 1,Quincy SD 172,LARGE,ELEMENTARY,143,83.2,6.3,4.9,,5.6,13.3,,63.6
010011720222009,School,Thomas S Baldwin Elementary School,Quincy SD 172,LARGE,ELEMENTARY,269,77.0,9.3,3.7,0.4,8.9,24.2,0.4,60.6
010011720222016,School,Lincoln-Douglas Elementary School,Quincy SD 172,LARGE,ELEMENTARY,572,78.0,7.7,3.1,0.9,10.0,21.0,0.2,55.9
010011720222017,School,Dr. Abby Fox Rooney Elementary School,Quincy SD 172,LARGE,ELEMENTARY,537,76.0,8.0,5.0,0.9,9.9,19.7,0.4,62.9
010050010262002,School,Brown County Elementary School,Brown County CUSD 1,MEDIUM,ELEMENTARY,312,96.2,0.6,2.2,,1.0,22.8,,50.3
010090150262003,School,Gard Elementary School,Beardstown CUSD 15,MEDIUM,ELEMENTARY,490,29.6,12.9,54.5,0.6,2.0,20.0,60.4,79.4
010090640262001,School,Virginia Elem School,Virginia CUSD 64,SMALL,ELEMENTARY,162,92.6,1.9,3.1,,1.9,24.1,0.6,55.6
010092620262001,School,A-C Central Elementary School,A-C Central CUSD 262,SMALL,ELEMENTARY,166,91.6,3.0,4.2,,1.2,19.9,,48.2
010690010262005,School,Franklin East Grade School,Franklin CUSD 1,SMALL,ELEMENTARY,87,94.3,,2.3,,2.3,13.8,,33.3
010690060262002,School,Waverly Elementary School,Waverly CUSD 6,SMALL,ELEMENTARY,204,96.1,0.5,0.5,2.5,0.5,16.7,1.5,36.3
010690110262003,School,Meredosia-Chambersburg Elem Sch,Meredosia-Chambersburg CUSD 11,SMALL,ELEMENTARY,110,93.6,,,,6.4,30.0,,75.5
010690270262002,School,Triopia Grade School,Triopia CUSD 27,SMALL,ELEMENTARY,202,96.0,,1.0,,3.0,15.3,,29.2
010691170222001,School,Eisenhower Elem School,Jacksonville SD 117,LARGE,ELEMENTARY,318,81.1,7.5,3.1,4.4,3.8,25.2,3.8,42.1
010691170222005,School,Washington Elem School,Jacksonville SD 117,LARGE,ELEMENTARY,261,66.3,10.7,4.2,1.1,16.9,21.5,1.5,70.9
010691170222006,School,Lincoln Elem School,Jacksonville SD 117,LARGE,ELEMENTARY,243,51.4,32.5,3.7,,12.3,24.7,2.1,86.0
010691170222007,School,South Jacksonville Elem School,Jacksonville SD 117,LARGE,ELEMENTARY,314,80.9,4.1,5.1,1.6,8.0,15.0,4.1,45.9
010691170222008,School,North Jacksonville School,Jacksonville SD 117,LARGE,ELEMENTARY,126,87.3,4.0,4.8,,4.0,20.6,3.2,56.3
010691170222009,School,Murrayville-Woodson Elem School,Jacksonville SD 117,LARGE,ELEMENTARY,140,90.7,2.9,1.4,0.7,3.6,30.0,2.9,56.4
010750030262001,School,Pleasant Hill Elem School,Pleasant Hill CUSD 3,SMALL,ELEMENTARY,237,97.9,1.3,0.4,,0.4,23.6,,58.2
010750040262001,School,Griggsville-Perry Primary School,Griggsville-Perry CUSD 4,SMALL,ELEMENTARY,161,98.8,,,,1.2,38.5,,77.6
010750100262007,School,Pittsfield South Elem School,Pikeland CUSD 10,MEDIUM,ELEMENTARY,341,97.9,0.3,1.2,0.6,,25.2,,51.9
010750100262010,School,Pikeland Community School,Pikeland CUSD 10,MEDIUM,ELEMENTARY,559,98.2,0.2,1.3,0.2,0.2,20.0,0.4,48.1
010750120262001,School,Western Barry Elem,Western CUSD 12,MEDIUM,ELEMENTARY,225,95.1,,3.6,,1.3,25.3,,65.3
010860010262002,School,Winchester Elem School,Winchester CUSD 1,MEDIUM,ELEMENTARY,436,97.7,,0.7,,1.6,23.4,,49.3
010860020262001,School,Bluffs Elementary School,Scott-Morgan CUSD 2,SMALL,ELEMENTARY,105,97.1,,1.0,,1.9,18.1,,49.5
030030010262001,School,Mulberry Grove Elem School,Mulberry Grove CUSD 1,SMALL,ELEMENTARY,199,91.5,1.0,2.0,,5.5,18.6,,56.8
030030020262003,School,Greenville Elem School,Bond County CUSD 2,LARGE,ELEMENTARY,640,84.1,3.6,4.4,0.5,7.3,27.3,0.2,53.8
030030020262004,School,Pocahontas Center,Bond County CUSD 2,LARGE,ELEMENTARY,205,91.7,1.0,1.0,,5.9,25.4,,52.2
030030020262005,School,Sorento Elem School,Bond County CUSD 2,LARGE,ELEMENTARY,134,95.5,,,,4.5,29.9,,53.0
030110010262001,School,Morrisonville Elem School,Morrisonville CUSD 1,SMALL,ELEMENTARY,171,97.1,,1.8,,1.2,22.2,,35.7
030110030262001,School,Memorial Elem School,Taylorville CUSD 3,LARGE,ELEMENTARY,307,90.9,2.0,1.6,1.0,4.6,24.1,,54.1
030110030262003,School,North Elem School,Taylorville CUSD 3,LARGE,ELEMENTARY,546,91.2,0.5,1.6,0.9,5.7,21.8,,58.1
030110030262005,School,Stonington Elem School,Taylorville CUSD 3,LARGE,ELEMENTARY,58,98.3,,1.7,,,29.3,1.7,50.0
030110040262001,School,Edinburg Elem School,Edinburg CUSD 4,SMALL,ELEMENTARY,115,94.8,,,,5.2,27.0,,51.3
030110080262001,School,Lincoln Elem School,Pana CUSD 8,MEDIUM,ELEMENTARY,277,95.3,1.4,1.1,0.4,1.8,17.0,0.4,70.4
030110080262003,School,Washington Elem School,Pana CUSD 8,MEDIUM,ELEMENTARY,312,96.8,0.3,1.3,,1.6,16.7,,66.7
030110140242001,School,South Fork Elementary School,South Fork SD 14,SMALL,ELEMENTARY,168,94.6,,1.8,,3.6,22.6,0.6,61.3
030250100262002,School,Altamont Grade School,Altamont CUSD 10,MEDIUM,ELEMENTARY,418,95.5,0.5,1.4,0.2,2.4,21.8,0.2,61.5
030250200262003,School,Beecher City Grade School,Beecher City CUSD 20,SMALL,ELEMENTARY,170,93.5,1.8,1.2,2.9,0.6,18.2,,41.2
030250300262002,School,Dieterich Elem School,Dieterich CUSD 30,MEDIUM,ELEMENTARY,326,96.3,,2.5,,1.2,15.0,,23.3
030250400262002,School,Central Grade School,Effingham CUSD 40,LARGE,ELEMENTARY,658,89.2,1.5,5.3,1.4,2.4,25.1,4.0,50.3
030250400262006,School,Early Learning Center,Effingham CUSD 40,LARGE,ELEMENTARY,185,95.1,3.2,,,0.5,27.6,5.4,49.7
030250400262008,School,South Side Grade School,Effingham CUSD 40,LARGE,ELEMENTARY,294,90.5,3.1,3.4,,3.1,20.4,1.0,52.7
030250500262002,School,Teutopolis Grade School,Teutopolis CUSD 50,MEDIUM,ELEMENTARY,561,98.4,0.4,0.2,0.2,0.9,14.4,0.2,1.4
030262010262001,School,Brownstown Elem School,Brownstown CUSD 201,SMALL,ELEMENTARY,241,98.8,,,,1.2,14.5,,49.0
030262020262001,School,St Elmo Elem School,St Elmo CUSD 202,SMALL,ELEMENTARY,243,99.6,,0.4,,,19.3,,56.4
030262030262008,School,Vandalia Elementary School,Vandalia CUSD 203,MEDIUM,ELEMENTARY,489,90.0,0.2,2.0,0.6,7.2,23.3,,59.9
030262030262009,School,Vandalia Junior High School,Vandalia CUSD 203,MEDIUM,ELEMENTARY,526,93.7,,1.3,0.4,4.4,17.1,,59.5
030262040262001,School,Ramsey Elem School,Ramsey CUSD 204,SMALL,ELEMENTARY,209,96.7,0.5,1.0,,1.9,15.8,,62.7
030680020262003,School,Farmersville Elem School,Panhandle CUSD 2,MEDIUM,ELEMENTARY,96,95.8,,3.1,,1.0,21.9,,20.8
030680020262005,School,Raymond Grade School,Panhandle CUSD 2,MEDIUM,ELEMENTARY,138,98.6,,0.7,,0.7,20.3,0.7,50.7
030680030262003,School,Beckemeyer Elem School,Hillsboro CUSD 3,MEDIUM,ELEMENTARY,560,93.4,0.7,3.6,0.2,2.0,22.9,0.4,52.5
030680030262006,School,Coffeen Elem School,Hillsboro CUSD 3,MEDIUM,ELEMENTARY,220,93.2,0.5,4.5,,1.8,29.1,,61.8
030680120262003,School,J D Colt Elem School,Litchfield CUSD 12,MEDIUM,ELEMENTARY,170,94.7,0.6,1.2,1.8,1.8,24.1,0.6,64.1
030680120262004,School,Madison Park Elem School,Litchfield CUSD 12,MEDIUM,ELEMENTARY,198,97.0,1.0,0.5,0.5,1.0,24.2,0.5,64.6
030680120262006,School,Russell Elem School,Litchfield CUSD 12,MEDIUM,ELEMENTARY,199,95.0,1.0,2.0,0.5,0.5,26.6,1.0,56.8
030680220262003,School,North Elem School,Nokomis CUSD 22,MEDIUM,ELEMENTARY,329,95.1,,2.4,,2.4,17.0,,44.1
040041000262003,School,Caledonia Elem School,Belvidere CUSD 100,LARGE,ELEMENTARY,398,70.6,4.3,19.1,0.5,4.8,24.9,8.0,35.2
040041000262005,School,Lincoln Elem School,Belvidere CUSD 100,LARGE,ELEMENTARY,597,46.7,2.7,45.7,0.2,4.2,18.4,31.2,50.4
040041000262007,School,Perry Elem School,Belvidere CUSD 100,LARGE,ELEMENTARY,277,63.2,6.5,23.8,,6.1,20.6,5.4,62.1
040041000262008,School,Washington Academy,Belvidere CUSD 100,LARGE,ELEMENTARY,825,40.0,4.7,51.2,0.4,3.4,22.2,36.0,62.2
040041000262009,School,Meehan Elementary School,Belvidere CUSD 100,LARGE,ELEMENTARY,609,46.0,3.9,46.3,1.0,2.6,17.2,31.0,54.4
040041000262010,School,Seth Whitman Elem Sch,Belvidere CUSD 100,LARGE,ELEMENTARY,669,56.5,3.1,35.4,0.9,3.3,14.3,23.9,37.2
040042000262001,School,Capron Elem School,North Boone CUSD 200,MEDIUM,ELEMENTARY,185,60.0,0.5,36.8,,2.7,21.1,21.1,54.1
040042000262002,School,Manchester Elem School,North Boone CUSD 200,MEDIUM,ELEMENTARY,161,66.5,0.6,23.6,,9.3,16.8,15.5,46.6
040042000262004,School,Poplar Grove Elem School,North Boone CUSD 200,MEDIUM,ELEMENTARY,273,75.5,1.5,15.0,0.4,7.7,23.1,10.6,34.1
040042000262005,School,North Boone Upper Elem Sch,North Boone CUSD 200,MEDIUM,ELEMENTARY,243,63.0,1.6,27.6,,7.8,13.2,8.6,48.1
041011220222005,School,Loves Park Elem School,Harlem UD 122,LARGE,ELEMENTARY,334,65.0,10.2,14.1,0.6,9.9,21.9,2.7,75.7
041011220222006,School,Maple Elem School,Harlem UD 122,LARGE,ELEMENTARY,282,66.0,9.2,10.6,3.5,10.3,21.3,5.0,74.5
041011220222007,School,Marquette Elem School,Harlem UD 122,LARGE,ELEMENTARY,300,78.3,5.3,10.7,0.7,5.0,22.7,1.7,59.3
041011220222008,School,Rock Cut Elem School,Harlem UD 122,LARGE,ELEMENTARY,432,56.3,5.3,27.3,1.2,9.0,20.4,19.0,60.2
041011220222010,School,Ralston Elem School,Harlem UD 122,LARGE,ELEMENTARY,337,81.3,2.1,7.7,1.2,7.4,16.6,1.8,35.6
041011220222011,School,Windsor Elem School,Harlem UD 122,LARGE,ELEMENTARY,416,71.4,4.8,13.5,1.0,8.7,25.2,2.4,68.5
041011220222013,School,Machesney Elem School,Harlem UD 122,LARGE,ELEMENTARY,377,76.7,4.8,9.5,1.1,6.9,23.3,0.8,52.0
041011220222014,School,Olson Park Elem School,Harlem UD 122,LARGE,ELEMENTARY,288,78.8,2.8,9.4,1.7,7.3,21.9,4.9,36.5
041011220222015,School,Donald C Parker Early Educ Center,Harlem UD 122,LARGE,ELEMENTARY,668,72.9,5.8,12.3,1.3,7.2,20.2,7.0,62.1
041011310042001,School,Kinnikinnick School,Kinnikinnick CCSD 131,MEDIUM,ELEMENTARY,365,87.1,2.2,4.9,0.8,4.9,16.4,1.4,23.0
041011310042002,School,Ledgewood Elem School,Kinnikinnick CCSD 131,MEDIUM,ELEMENTARY,394,86.8,3.6,4.6,1.5,3.6,29.9,0.5,20.6
041011310042003,School,Stone Creek School,Kinnikinnick CCSD 131,MEDIUM,ELEMENTARY,355,80.3,2.8,7.6,1.7,7.3,22.5,1.4,21.7
041011330042001,School,Prairie Hill Elem School,Prairie Hill CCSD 133,MEDIUM,ELEMENTARY,427,91.6,0.9,3.5,1.2,2.8,19.7,0.7,14.8
041011340042001,School,Shirland C C School,Shirland CCSD 134,SMALL,ELEMENTARY,109,89.9,,2.8,,3.7,15.6,0.9,34.9
041011400042001,School,Rockton Elem School,Rockton SD 140,MEDIUM,ELEMENTARY,544,80.3,1.7,9.0,0.9,7.9,19.9,1.1,27.4
041011400042002,School,Whitman Post Elem School,Rockton SD 140,MEDIUM,ELEMENTARY,471,83.0,1.9,7.2,0.6,6.4,16.8,1.1,26.1
041012050252014,School,Barbour Two-Way Lang Immersion,Rockford SD 205,LARGE,ELEMENTARY,754,6.6,6.0,84.7,,2.7,6.5,57.8,75.2
041012050252016,School,Beyer Elem School,Rockford SD 205,LARGE,ELEMENTARY,333,14.7,45.3,25.2,7.2,7.5,25.5,27.6,52.0
041012050252017,School,C Henry Bloom Elem School,Rockford SD 205,LARGE,ELEMENTARY,407,37.6,34.2,17.7,3.9,6.1,17.9,13.8,71.0
041012050252018,School,Brookview Elem School,Rockford SD 205,LARGE,ELEMENTARY,557,54.2,18.1,13.8,6.8,6.5,14.9,13.5,44.9
041012050252019,School,Clifford P Carlson Elem School,Rockford SD 205,LARGE,ELEMENTARY,369,42.5,32.2,14.9,1.9,8.4,19.0,9.2,63.4
041012050252022,School,Conklin Elem School,Rockford SD 205,LARGE,ELEMENTARY,308,20.5,50.3,19.5,1.3,7.5,14.3,22.4,77.9
041012050252024,School,Ellis Elementary School,Rockford SD 205,LARGE,ELEMENTARY,444,9.2,74.1,7.4,,9.2,25.0,2.0,91.0
041012050252027,School,Arthur Froberg Elem School,Rockford SD 205,LARGE,ELEMENTARY,422,45.0,19.4,20.1,6.2,8.5,14.5,15.9,53.6
041012050252029,School,Gregory Elem School,Rockford SD 205,LARGE,ELEMENTARY,344,24.4,25.9,39.2,7.8,2.6,16.0,40.7,71.2
041012050252034,School,Haskell Elementary School,Rockford SD 205,LARGE,ELEMENTARY,301,9.3,71.1,7.3,2.7,9.6,19.3,4.3,86.0
041012050252037,School,Swan Hillman Elem School,Rockford SD 205,LARGE,ELEMENTARY,577,15.1,22.0,54.8,4.2,3.8,12.1,58.1,76.1
041012050252039,School,Maud E Johnson Elem School,Rockford SD 205,LARGE,ELEMENTARY,449,40.8,23.6,20.7,3.8,10.0,16.5,12.0,60.4
041012050252040,School,Constance Lane Elementary School,Rockford SD 205,LARGE,ELEMENTARY,253,8.3,55.7,9.5,18.2,8.3,11.9,38.7,90.9
041012050252041,School,Julia Lathrop Elem School,Rockford SD 205,LARGE,ELEMENTARY,381,18.9,15.2,63.8,,1.3,13.9,59.6,81.1
041012050252043,School,McIntosh Elementary,Rockford SD 205,LARGE,ELEMENTARY,348,18.1,61.8,12.9,0.6,6.3,28.7,5.7,87.6
041012050252047,School,John Nelson Elem School,Rockford SD 205,LARGE,ELEMENTARY,382,19.6,32.2,37.4,0.5,9.9,12.6,31.2,85.1
041012050252051,School,Riverdahl Elem School,Rockford SD 205,LARGE,ELEMENTARY,681,30.0,31.3,25.8,2.5,10.3,16.2,19.1,82.5
041012050252054,School,Rolling Green,Rockford SD 205,LARGE,ELEMENTARY,527,45.4,17.6,20.7,7.4,8.3,22.2,36.8,74.6
041012050252056,School,Spring Creek Elem School,Rockford SD 205,LARGE,ELEMENTARY,478,52.3,17.4,18.4,4.8,6.9,16.7,15.5,42.3
041012050252063,School,R K Welsh Elem School,Rockford SD 205,LARGE,ELEMENTARY,491,25.1,47.9,13.0,0.8,13.2,21.2,4.3,82.5
041012050252064,School,West View Elem School,Rockford SD 205,LARGE,ELEMENTARY,493,29.4,47.3,13.4,,9.9,19.1,4.3,71.6
041012050252066,School,Whitehead Elem School,Rockford SD 205,LARGE,ELEMENTARY,597,25.0,20.3,46.2,1.5,6.4,15.2,39.5,72.2
041012050252067,School,Cherry Valley Elementary School,Rockford SD 205,LARGE,ELEMENTARY,641,56.0,14.4,16.8,4.7,8.1,17.0,12.5,48.8
041012050252078,School,Thurgood Marshall Elementary,Rockford SD 205,LARGE,ELEMENTARY,390,65.1,4.4,11.3,12.8,5.9,11.5,7.7,20.8
041012050252080,School,Washington Elementary School,Rockford SD 205,LARGE,ELEMENTARY,462,7.6,27.1,60.0,,4.8,15.2,52.6,82.9
041012050252084,School,Lewis Lemon Elementary,Rockford SD 205,LARGE,ELEMENTARY,344,7.8,72.1,11.9,,8.1,22.7,7.8,88.1
041012050252085,School,Montessori Elementary School,Rockford SD 205,LARGE,ELEMENTARY,584,50.7,23.6,14.9,3.1,7.5,11.0,6.0,41.3
041012050252086,School,Rockford Envrnmntl Science Acad,Rockford SD 205,LARGE,ELEMENTARY,1090,19.1,20.6,52.1,2.4,5.4,18.0,27.2,75.7
041012050252087,School,Thurgood Marshall School,Rockford SD 205,LARGE,ELEMENTARY,471,65.0,4.5,10.2,14.0,6.2,4.7,0.4,16.6
041013200262003,School,Clark Elementary School,County of Winnebago SD 320,MEDIUM,ELEMENTARY,194,67.5,4.1,21.1,0.5,6.7,12.9,3.1,43.8
041013200262004,School,Riverview Elementary School,County of Winnebago SD 320,MEDIUM,ELEMENTARY,204,66.7,2.0,23.0,0.5,7.4,14.2,9.8,64.2
041013200262005,School,Blackhawk Elementary School,County of Winnebago SD 320,MEDIUM,ELEMENTARY,154,61.7,3.9,25.3,0.6,8.4,14.3,9.7,63.0
041013210262002,School,Pecatonica Elem School,Pecatonica CUSD 321,MEDIUM,ELEMENTARY,339,91.2,2.1,3.8,0.6,2.4,26.0,1.5,29.5
041013220262001,School,Durand Elem School,Durand CUSD 322,MEDIUM,ELEMENTARY,285,91.6,,3.2,,4.6,15.8,,29.5
041013230262003,School,Dorothy Simon Elem School,Winnebago CUSD 323,MEDIUM,ELEMENTARY,307,87.6,1.3,5.9,0.7,4.6,25.4,2.0,3.9
041013230262005,School,Jean McNair Elementary School,Winnebago CUSD 323,MEDIUM,ELEMENTARY,287,82.9,3.5,5.9,1.7,5.9,20.2,3.1,0.3
050160150042001,School,Jane Addams Elem School,Palatine CCSD 15,LARGE,ELEMENTARY,579,20.2,2.1,67.9,8.5,1.2,10.7,56.0,66.5
050160150042003,School,Central Road Elem School,Palatine CCSD 15,LARGE,ELEMENTARY,541,37.9,3.9,36.0,17.6,4.6,10.7,28.7,38.3
050160150042004,School,Marion Jordan Elem School,Palatine CCSD 15,LARGE,ELEMENTARY,479,64.5,1.5,5.2,24.6,4.0,14.8,10.0,8.8
050160150042005,School,Kimball Hill Elem School,Palatine CCSD 15,LARGE,ELEMENTARY,584,44.0,1.0,50.2,3.6,1.0,12.3,35.3,52.2
050160150042006,School,Hunting Ridge Elem School,Palatine CCSD 15,LARGE,ELEMENTARY,724,51.4,4.8,6.2,34.4,3.2,8.8,11.7,14.1
050160150042007,School,Lake Louise Elem School,Palatine CCSD 15,LARGE,ELEMENTARY,761,21.9,6.8,61.2,7.0,2.9,10.2,37.6,55.7
050160150042008,School,Lincoln Elementary School,Palatine CCSD 15,LARGE,ELEMENTARY,755,41.6,3.2,42.9,9.0,3.0,9.5,34.3,47.3
050160150042009,School,Stuart R Paddock School,Palatine CCSD 15,LARGE,ELEMENTARY,703,40.3,3.3,36.8,14.1,4.3,8.3,30.4,41.8
050160150042010,School,Pleasant Hill Elem School,Palatine CCSD 15,LARGE,ELEMENTARY,649,49.6,0.3,5.1,41.4,3.5,7.1,10.5,5.2
050160150042013,School,Gray M Sanborn Elem School,Palatine CCSD 15,LARGE,ELEMENTARY,607,30.1,6.3,51.6,9.6,2.3,10.9,35.1,59.5
050160150042015,School,Virginia Lake Elem School,Palatine CCSD 15,LARGE,ELEMENTARY,745,19.7,7.5,63.9,6.2,2.7,10.3,51.0,64.2
050160150042018,School,Willow Bend Elem School,Palatine CCSD 15,LARGE,ELEMENTARY,631,37.9,2.1,9.4,45.5,4.8,5.4,34.1,18.4
050160150042019,School,Winston Campus Elementary,Palatine CCSD 15,LARGE,ELEMENTARY,465,40.9,2.6,44.5,7.5,3.7,16.6,32.5,41.3
050160150042020,School,Thomas Jefferson Elem School,Palatine CCSD 15,LARGE,ELEMENTARY,448,47.5,2.0,37.1,10.3,3.1,18.3,31.9,36.4
050160150042023,School,Frank C Whiteley Elem School,Palatine CCSD 15,LARGE,ELEMENTARY,594,36.9,3.0,7.7,46.6,5.6,14.6,22.2,13.8
050160210042003,School,Eugene Field Elem School,Wheeling CCSD 21,LARGE,ELEMENTARY,541,8.9,1.8,84.1,2.6,2.4,13.9,73.4,67.7
050160210042004,School,Robert Frost Elem School,Wheeling CCSD 21,LARGE,ELEMENTARY,504,28.2,1.2,56.5,10.3,3.6,17.3,64.7,52.6
050160210042007,School,Joyce Kilmer Elem School,Wheeling CCSD 21,LARGE,ELEMENTARY,506,33.4,1.8,50.4,8.3,5.3,14.2,61.5,51.0
050160210042009,School,Henry W Longfellow Elem School,Wheeling CCSD 21,LARGE,ELEMENTARY,409,71.6,1.0,7.3,13.0,6.6,19.8,16.9,13.4
050160210042010,School,Edgar A Poe Elem School,Wheeling CCSD 21,LARGE,ELEMENTARY,351,64.4,2.0,8.5,17.4,7.7,13.1,55.8,32.5
050160210042011,School,J W Riley Elem School,Wheeling CCSD 21,LARGE,ELEMENTARY,278,64.4,1.8,11.9,13.7,7.9,28.8,27.7,24.1
050160210042013,School,Booth Tarkington Elem School,Wheeling CCSD 21,LARGE,ELEMENTARY,427,28.8,0.9,39.8,22.7,6.8,14.1,57.1,34.0
050160210042014,School,Mark Twain Elem School,Wheeling CCSD 21,LARGE,ELEMENTARY,471,4.9,1.1,88.5,2.3,2.8,20.2,76.9,59.2
050160210042015,School,Walt Whitman Elem School,Wheeling CCSD 21,LARGE,ELEMENTARY,481,9.8,1.7,83.4,1.2,2.1,16.2,80.0,72.3
050160230022001,School,Dwight D Eisenhower Elem School,Prospect Heights SD 23,MEDIUM,ELEMENTARY,347,58.2,1.4,24.2,15.0,1.2,25.1,44.4,32.6
050160230022004,School,Betsy Ross Elem School,Prospect Heights SD 23,MEDIUM,ELEMENTARY,318,69.2,0.6,18.2,10.1,1.9,15.7,32.7,32.7
050160230022005,School,Anne Sullivan Elem School,Prospect Heights SD 23,MEDIUM,ELEMENTARY,354,66.9,1.7,19.8,9.3,1.1,15.0,27.1,38.7
050160250022002,School,Dryden Elem School,Arlington Heights SD 25,LARGE,ELEMENTARY,500,82.6,1.0,8.2,6.6,0.8,12.4,13.8,6.6
050160250022004,School,Greenbrier Elem School,Arlington Heights SD 25,LARGE,ELEMENTARY,402,68.4,1.7,5.5,22.9,0.5,30.3,18.9,5.0
050160250022005,School,Ivy Hill Elem School,Arlington Heights SD 25,LARGE,ELEMENTARY,668,39.7,0.7,7.8,50.3,0.3,7.8,31.4,4.3
050160250022009,School,Olive-Mary Stitt School,Arlington Heights SD 25,LARGE,ELEMENTARY,632,79.9,3.0,6.8,8.7,1.1,14.1,6.2,3.3
050160250022011,School,Patton Elem School,Arlington Heights SD 25,LARGE,ELEMENTARY,444,84.2,1.8,4.5,7.4,1.4,16.2,7.0,5.4
050160250022016,School,Westgate Elem School,Arlington Heights SD 25,LARGE,ELEMENTARY,566,78.8,2.3,9.4,7.8,1.4,20.1,11.3,7.2
050160250022018,School,Windsor Elementary School,Arlington Heights SD 25,LARGE,ELEMENTARY,521,77.4,0.8,10.9,9.4,1.2,20.7,16.5,9.4
050160260022001,School,Euclid Elem School,River Trails SD 26,MEDIUM,ELEMENTARY,468,39.5,3.0,32.3,20.5,2.8,12.0,40.8,41.9
050160260022003,School,Indian Grove Elem School,River Trails SD 26,MEDIUM,ELEMENTARY,535,72.0,0.7,4.7,19.8,1.9,10.8,19.4,10.8
050160270022002,School,Hickory Point Elem School,Northbrook ESD 27,MEDIUM,ELEMENTARY,384,68.2,0.5,4.4,20.3,6.3,16.1,9.1,2.9
050160270022004,School,Shabonee School,Northbrook ESD 27,MEDIUM,ELEMENTARY,420,71.9,0.7,3.6,20.7,3.1,19.5,4.8,3.6
050160280022002,School,Greenbriar Elem School,Northbrook SD 28,LARGE,ELEMENTARY,390,83.8,0.5,2.8,10.5,2.3,15.9,3.8,1.5
050160280022003,School,Meadowbrook Elem School,Northbrook SD 28,LARGE,ELEMENTARY,419,73.7,1.2,6.2,14.8,4.1,14.6,10.3,2.1
050160280022006,School,Westmoor Elem School,Northbrook SD 28,LARGE,ELEMENTARY,434,74.2,0.7,3.5,15.7,5.5,23.5,14.5,2.1
050160290022001,School,Middlefork Primary School,Sunset Ridge SD 29,MEDIUM,ELEMENTARY,197,83.8,,2.0,9.1,5.1,13.7,6.1,1.0
050160290022002,School,Sunset Ridge Elem School,Sunset Ridge SD 29,MEDIUM,ELEMENTARY,272,86.4,,3.7,7.0,2.6,17.3,1.8,1.1
050160300022002,School,Willowbrook Elem School,Northbrook/Glenview SD 30,MEDIUM,ELEMENTARY,397,59.7,0.3,3.5,34.0,2.5,20.2,14.6,0.3
050160300022003,School,Wescott Elementary School,Northbrook/Glenview SD 30,MEDIUM,ELEMENTARY,414,52.9,1.2,1.0,43.7,1.0,15.9,12.1,1.9
050160310022002,School,Henry Winkelman Elem School,West Northfield SD 31,MEDIUM,ELEMENTARY,585,43.6,1.5,9.7,35.0,10.1,15.0,25.3,19.0
050160340042001,School,Glen Grove Elem School,Glenview CCSD 34,LARGE,ELEMENTARY,476,46.0,3.8,11.6,35.5,2.3,17.6,20.0,26.7
050160340042002,School,Henking Elem School,Glenview CCSD 34,LARGE,ELEMENTARY,456,61.0,0.9,15.1,17.5,5.3,13.8,27.2,28.5
050160340042003,School,Hoffman Elem School,Glenview CCSD 34,LARGE,ELEMENTARY,533,60.2,2.3,16.9,17.3,3.2,17.6,24.8,30.2
050160340042004,School,Lyon Elem School,Glenview CCSD 34,LARGE,ELEMENTARY,462,77.9,0.9,8.2,8.2,4.5,16.2,13.0,14.9
050160340042005,School,Pleasant Ridge Elem School,Glenview CCSD 34,LARGE,ELEMENTARY,560,76.3,1.3,11.1,8.2,2.7,20.9,14.5,14.1
050160340042008,School,Westbrook Elementary School,Glenview CCSD 34,LARGE,ELEMENTARY,510,42.7,3.5,15.9,36.3,1.4,23.5,35.1,32.0
